element_type,osmid,name,shop,geometry,amenity,name:ru,operator,phone,website,nodes,addr:city,addr:country,addr:housenumber,addr:region,addr:street,building,tourism,building:levels,smoking,denomination,historic,religion,leisure,opening_hours,abandoned,abandoned:cafe,description,office,branch,brand:wikidata,brand:wikipedia,contact:facebook,contact:instagram,contact:ok,contact:phone,contact:twitter,contact:vk,contact:website,name:en,ref,wheelchair,abandoned:shop,abandoned:building,aeroway,club,power,ways,type
way,122950872,,,"POLYGON ((37.2648261 58.6596419, 37.264849 58.6596953, 37.2648795 58.6596917, 37.2648936 58.6597245, 37.2649957 58.6597126, 37.2649586 58.6596265, 37.2648261 58.6596419))",,,,,,"[1372285543, 6176060022, 6176060021, 1372285564, 1372285561, 1372285530, 1372285543]",Весьегонск,RU,32,Тверская область,улица Тодорского,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,122950874,,,"POLYGON ((37.2652554 58.65958, 37.2653016 58.6596762, 37.2654126 58.6596617, 37.2654072 58.6596503, 37.2654489 58.6596449, 37.2654081 58.6595601, 37.2652554 58.65958))",,,,,,"[1372285521, 6176060045, 6176060046, 1372285558, 1372285548, 1372285514, 1372285521]",Весьегонск,RU,34,Тверская область,улица Тодорского,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,122950875,,,"POLYGON ((37.2638936 58.6600324, 37.2636978 58.6600531, 37.2637029 58.6600661, 37.2637375 58.6601547, 37.2639333 58.660134, 37.2638936 58.6600324))",,,,,,"[1372285594, 1372285604, 6172476520, 1372285607, 1372285606, 1372285594]",Весьегонск,RU,36,Тверская область,Весьегонская улица,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,122950883,Любые капризы,,"POLYGON ((37.2609817 58.6601929, 37.2612043 58.6601677, 37.2611172 58.6599599, 37.2608946 58.6599851, 37.2609163 58.6600368, 37.2609817 58.6601929))",,,,,,"[1372285591, 1372285588, 1372285581, 1372285583, 6176050333, 1372285591]",Весьегонск,RU,,Тверская область,улица Карла Маркса,retail,,,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,122950885,Продукты,convenience,"POLYGON ((37.2681407 58.6591991, 37.2681956 58.6593093, 37.2682327 58.6593042, 37.2682284 58.6592954, 37.2683403 58.6592803, 37.2682898 58.659179, 37.2681407 58.6591991))",,,,,,"[1372285449, 1372285466, 6176093022, 6176093021, 1372285452, 1372285448, 1372285449]",Весьегонск,RU,44А,Тверская область,улица Тодорского,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,122950886,Церковь Казанской иконы Божией Матери,,"POLYGON ((37.2612439 58.6812302, 37.261653 58.6812388, 37.2616518 58.6812551, 37.2618928 58.6812601, 37.261894 58.6812438, 37.2619862 58.6812457, 37.2619936 58.6811498, 37.2619106 58.681148, 37.2619119 58.6811313, 37.2616598 58.681126, 37.2616585 58.6811428, 37.2612514 58.6811343, 37.2612439 58.6812302))",place_of_worship,,,,,"[1372285668, 3014094526, 3014094528, 3014094529, 3014094527, 1372285670, 1372285666, 3014094525, 3014094522, 3014094521, 3014094523, 1372285663, 1372285668]",,,,,,yes,,,,orthodox,ruins,christian,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123065222,,,"POLYGON ((37.2572051 58.6580341, 37.2573547 58.6580078, 37.2572283 58.6578131, 37.2570787 58.6578394, 37.2572051 58.6580341))",,,,,,"[1373546982, 1373546979, 1373546970, 1373546971, 1373546982]",Весьегонск,RU,73,Тверская область,улица Кирова,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123065223,Гостиница Весь,,"POLYGON ((37.2567103 58.657324, 37.2569933 58.6572744, 37.2569638 58.6572289, 37.2568607 58.657247, 37.2567352 58.6570531, 37.2565553 58.6570846, 37.2567103 58.657324))",,,,,,"[1373546967, 6180900938, 6180900939, 6180900937, 1373546957, 1373546959, 1373546967]",Весьегонск,,75,,улица Кирова,yes,hotel,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123065225,ХозСтройТовары,hardware,"POLYGON ((37.2558197 58.6574016, 37.2562182 58.6573297, 37.2561079 58.6571645, 37.2557098 58.6572364, 37.2557437 58.6572871, 37.2554127 58.6573469, 37.2555421 58.6575409, 37.2558728 58.6574812, 37.2558197 58.6574016))",,,,,,"[1373546968, 1373546966, 1373546962, 1373546963, 2582127741, 2582127748, 2582127777, 2582127766, 1373546968]",Весьегонск,RU,80,Тверская область,улица Кирова,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123065226,Центральная парикмахерская,hairdresser,"POLYGON ((37.2574559 58.6583637, 37.2576762 58.6583215, 37.257595 58.6582067, 37.2573746 58.6582489, 37.2574559 58.6583637))",,,,,,"[1373546990, 1373546987, 1373546984, 1373546986, 1373546990]",Весьегонск,RU,71,Тверская область,улица Кирова,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123071135,,,"POLYGON ((37.2581264 58.6577696, 37.2583708 58.6577259, 37.2583198 58.6576485, 37.2582623 58.6575638, 37.258179 58.6574428, 37.2581461 58.657393, 37.2579062 58.6574358, 37.2581264 58.6577696))",,,,,,"[1373613918, 1373613917, 9309985365, 9309985366, 9309985367, 1373613915, 1373613916, 1373613918]",Весьегонск,RU,120,Тверская область,улица Карла Маркса,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123071137,,,"POLYGON ((37.2577165 58.6570981, 37.2579259 58.6570587, 37.2578217 58.6569088, 37.2576123 58.6569481, 37.2577165 58.6570981))",,,,,,"[1373613906, 1373613905, 1373613899, 1373613902, 1373613906]",Весьегонск,RU,124,Тверская область,улица Карла Маркса,apartments,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123071138,,,"POLYGON ((37.256014 58.654402, 37.255815 58.654441, 37.2561893 58.6549582, 37.2563884 58.6549193, 37.256014 58.654402))",,,,,,"[1373613839, 1373613840, 1373613850, 1373613849, 1373613839]",Весьегонск,RU,132,Тверская область,улица Карла Маркса,apartments,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123071139,,,"POLYGON ((37.258551 58.6569573, 37.2587722 58.6569169, 37.2586081 58.6566747, 37.258387 58.6567153, 37.258551 58.6569573))",,,,,,"[1373613898, 1373613897, 1373613891, 1373613895, 1373613898]",Весьегонск,RU,137,Тверская область,улица Карла Маркса,apartments,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123071140,,,"POLYGON ((37.2581157 58.6562998, 37.258341 58.6562605, 37.2581609 58.6559811, 37.2579356 58.6560204, 37.2581157 58.6562998))",,,,,,"[1373613885, 1373613882, 1373613876, 1373613877, 1373613885]",Весьегонск,RU,141,Тверская область,улица Карла Маркса,apartments,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123071141,,,"POLYGON ((37.2564067 58.6534611, 37.2567182 58.6539071, 37.256768 58.6539857, 37.2569644 58.6539491, 37.2569212 58.6538863, 37.2568309 58.6537552, 37.2567838 58.6536868, 37.2567368 58.6536185, 37.2566421 58.653481, 37.2566032 58.6534245, 37.2564067 58.6534611))",,,,,,"[1373613827, 1373613801, 1373613833, 1373613832, 6358449104, 6358449103, 6358449102, 6358449105, 6358449106, 1373613826, 1373613827]",Весьегонск,RU,149,Тверская область,улица Карла Маркса,apartments,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123074075,,,"POLYGON ((37.2626789 58.6553595, 37.2628709 58.6554045, 37.2633233 58.6548827, 37.2631314 58.6548377, 37.2626789 58.6553595))",,,,,,"[1373659025, 1373659027, 1373659023, 1373659021, 1373659025]",Весьегонск,RU,1,Тверская область,Коммунистическая улица,apartments,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123074076,,,"POLYGON ((37.2604582 58.6577261, 37.2607621 58.6578076, 37.2608518 58.657717, 37.2608292 58.657711, 37.260876 58.6576637, 37.2608395 58.6576539, 37.260869 58.6576241, 37.2606242 58.6575585, 37.2604582 58.6577261))",,,,,,"[1373659047, 1373659048, 1373659045, 2765083957, 6181034489, 6181034488, 6181034487, 1373659044, 1373659047]",Весьегонск,RU,13,Тверская область,Коммунистическая улица,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123074078,,,"POLYGON ((37.2673142 58.6551949, 37.2672295 58.6552918, 37.2674402 58.6553417, 37.2675249 58.6552448, 37.2673142 58.6551949))",,,,,,"[1373659028, 1373659030, 1373659031, 1373659029, 1373659028]",Весьегонск,RU,13,Тверская область,Станционная улица,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123074079,,,"POLYGON ((37.2694256 58.6540218, 37.2695878 58.6539539, 37.269417 58.6538434, 37.2692547 58.6539113, 37.2694256 58.6540218))",,,,,,"[1373659015, 1373659014, 1373659012, 1373659013, 1373659015]",Весьегонск,RU,1А,Тверская область,Свободный проезд,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123074081,,,"POLYGON ((37.265542 58.6484987, 37.2655881 58.6485782, 37.265608 58.6486148, 37.2657995 58.6485853, 37.266045 58.6485475, 37.2662904 58.6485098, 37.2665292 58.648473, 37.266768 58.6484362, 37.2670195 58.6483975, 37.267271 58.6483588, 37.2674809 58.6483265, 37.2674149 58.6482104, 37.265542 58.6484987))",,,,,,"[1373658987, 6363402662, 1373658989, 6365548196, 6365548198, 6365548197, 6365548202, 6365548199, 6365548201, 6365548200, 1373658988, 1373658986, 1373658987]",Весьегонск,RU,34,Тверская область,Промышленная улица,apartments,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123074083,,,"POLYGON ((37.2685286 58.6534628, 37.2690242 58.6532174, 37.2688207 58.6531061, 37.2685732 58.6532287, 37.2684637 58.6531688, 37.2682156 58.6532917, 37.2685286 58.6534628))",,,,,,"[1373659010, 1373659009, 1373659007, 2582127358, 2582127349, 1373659008, 1373659010]",Весьегонск,RU,4,Тверская область,Свободный проезд,yes,,,,,,,sauna,,,,,,,,,,,,,,,,,,,,,,,,,
way,123074084,,,"POLYGON ((37.262033 58.6560193, 37.2622156 58.6560629, 37.2623114 58.6559542, 37.2621288 58.6559107, 37.262033 58.6560193))",,,,,,"[1373659034, 1373659035, 1373659033, 1373659032, 1373659034]",Весьегонск,RU,5,Тверская область,Коммунистическая улица,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123074086,,,"POLYGON ((37.2668764 58.6530957, 37.2670302 58.6530617, 37.2671263 58.6530405, 37.2670635 58.6529636, 37.2669692 58.6529844, 37.2668136 58.6530188, 37.2668764 58.6530957))",,,,,,"[1373659006, 1590468848, 1373659005, 1373659003, 1590468845, 1373659004, 1373659006]",Весьегонск,RU,5,Тверская область,Свободный проезд,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123074087,,,"POLYGON ((37.266812 58.655059, 37.2667153 58.6551529, 37.2670524 58.6552422, 37.2671371 58.6551452, 37.266812 58.655059))",,,,,,"[1373659020, 1373659024, 1373659026, 1373659022, 1373659020]",Весьегонск,RU,5А,Тверская область,Станционная улица,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123074088,,,"POLYGON ((37.2615716 58.6566055, 37.261827 58.6566646, 37.2620307 58.6564265, 37.2617754 58.6563674, 37.2615716 58.6566055))",post_office,,,,,"[1373659038, 1373659039, 1373659037, 1373659036, 1373659038]",Весьегонск,RU,7,Тверская область,Коммунистическая улица,yes,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123074089,,,"POLYGON ((37.2668702 58.650653, 37.2669926 58.6505407, 37.2668699 58.6505045, 37.2669893 58.650395, 37.2667349 58.65032, 37.2664433 58.6505874, 37.2667005 58.6506633, 37.2667504 58.6506176, 37.2668702 58.650653))",,,,,,"[1373658995, 1373658994, 1373658991, 2582168651, 2582168650, 1373658992, 2582168653, 2582168652, 1373658995]",Весьегонск,RU,8А,Тверская область,Свободный проезд,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123074091,,,"POLYGON ((37.2611859 58.6570263, 37.2613653 58.6570698, 37.2615731 58.6568379, 37.2613937 58.6567944, 37.2611859 58.6570263))",,,,,,"[1373659042, 1373659043, 1373659041, 1373659040, 1373659042]",Весьегонск,RU,9,Тверская область,Коммунистическая улица,apartments,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123074092,24ч,convenience,"POLYGON ((37.2632539 58.6547171, 37.263438 58.6547588, 37.2635529 58.6546214, 37.2633688 58.6545797, 37.2632539 58.6547171))",,,,,,"[1373659018, 1373659019, 1373659017, 1373659016, 1373659018]",Весьегонск,RU,,Тверская область,,yes,,,,,,,,24/7,,,,,,,,,,,,,,,,,,,,,,,,
way,123074097,,,"POLYGON ((37.2601452 58.6581448, 37.2603524 58.6581935, 37.2605708 58.6579421, 37.2603623 58.6578931, 37.2602778 58.6579903, 37.260234 58.65798, 37.2601828 58.658039, 37.2602279 58.6580496, 37.2601452 58.6581448))",police,,,,,"[1373659056, 1373659057, 1373659055, 1373659053, 6181034491, 6181034492, 6181034493, 6181034490, 1373659056]",Весьегонск,RU,15,Тверская область,Коммунистическая улица,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123074099,,,"POLYGON ((37.2635182 58.6509394, 37.2635482 58.6508523, 37.2635568 58.6508273, 37.2632767 58.6508012, 37.2632551 58.6508638, 37.2632381 58.6509133, 37.2635182 58.6509394))",,,,,,"[1373658998, 4945246388, 1373658997, 1373658999, 3722024941, 1373659000, 1373658998]",,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123074101,Блик,chemist,"POLYGON ((37.2657062 58.647703, 37.2657514 58.6477192, 37.2658486 58.6477098, 37.2658317 58.6476622, 37.2657829 58.6476448, 37.2657062 58.647703))",,,,,,"[1373658975, 1373658978, 6364436786, 1373658979, 1373658977, 1373658975]",,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123075170,,,"POLYGON ((37.2610403 58.6445915, 37.2611344 58.6447329, 37.2616369 58.6446423, 37.2617501 58.6448124, 37.2613497 58.6448846, 37.2614147 58.6449821, 37.262326 58.6448178, 37.2622602 58.6447189, 37.2618562 58.6447918, 37.2617454 58.6446252, 37.2622335 58.6445372, 37.2621379 58.6443937, 37.2616014 58.6444904, 37.2610403 58.6445915))",,,,,,"[1373664186, 1373664188, 2582126175, 2582126188, 2582126193, 2582126196, 2582126190, 2582126183, 2582126185, 2582126173, 1373664184, 1373664180, 1373664183, 1373664186]",Весьегонск,RU,24А,Тверская область,Южная улица,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123077403,Александровский причал,,"POLYGON ((37.2735117 58.648427, 37.2735043 58.6484982, 37.2738084 58.6485068, 37.2738159 58.6484356, 37.2735117 58.648427))",,,,,,"[1373685445, 1373685448, 1373685446, 1373685444, 1373685445]",,,,,,yes,hotel,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123091419,,,"POLYGON ((37.2711332 58.6467541, 37.2714739 58.6466943, 37.2714081 58.646593, 37.2710674 58.6466528, 37.2711332 58.6467541))",,,,,,"[1373776989, 1373776988, 1373776986, 1373776987, 1373776989]",Весьегонск,RU,16,Тверская область,Промышленная улица,apartments,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123091423,,,"POLYGON ((37.2827002 58.644354, 37.2828721 58.6442898, 37.2827585 58.6442075, 37.2825866 58.6442717, 37.2827002 58.644354))",,,,,,"[1373776801, 1373776796, 1373776783, 1373776787, 1373776801]",Весьегонск,RU,4,Тверская область,Фабричный переулок,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123091428,,,"POLYGON ((37.2733534 58.6470964, 37.2735518 58.6470608, 37.2734848 58.6469597, 37.2732864 58.6469953, 37.2733534 58.6470964))",,,,,,"[1373777047, 1373777045, 1373777038, 1373777043, 1373777047]",Весьегонск,RU,4,Тверская область,Промышленная площадь,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123091430,,,"POLYGON ((37.2762447 58.644961, 37.2764431 58.6449254, 37.2763761 58.6448243, 37.2761777 58.6448599, 37.2762447 58.644961))",,,,,,"[1373776866, 1373776860, 1373776847, 1373776853, 1373776866]",Весьегонск,RU,4,Тверская область,улица Долгирева,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123091439,,,"POLYGON ((37.2716804 58.6472704, 37.2718921 58.647234, 37.2717595 58.647025, 37.2715477 58.6470614, 37.2716804 58.6472704))",,,,,,"[1373777037, 1373777026, 1373777018, 1373777020, 1373777037]",Весьегонск,RU,2Б,Тверская область,Стахановская улица,apartments,,2,,,,,,,yes,yes,Заброшенная столовая ,,,,,,,,,,,,,,,,,,,,,
way,123091444,,,"POLYGON ((37.2731513 58.6461098, 37.2733963 58.6460681, 37.273333 58.6459675, 37.273088 58.6460092, 37.2731513 58.6461098))",,,,,,"[1373776931, 1373776924, 1373776912, 1373776919, 1373776931]",Весьегонск,RU,13,Тверская область,Промышленная улица,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123091452,,,"POLYGON ((37.2802575 58.6450728, 37.280429 58.6450147, 37.2803232 58.6449301, 37.2801517 58.6449882, 37.2802575 58.6450728))",,,,,,"[1373776874, 1373776870, 1373776864, 1373776868, 1373776874]",Весьегонск,RU,14,Тверская область,Фабричный переулок,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123091466,,,"POLYGON ((37.2740788 58.6462481, 37.2742772 58.6462125, 37.2742102 58.6461114, 37.2740118 58.646147, 37.2740788 58.6462481))",,,,,,"[1373776972, 1373776968, 1373776955, 1373776957, 1373776972]",Весьегонск,RU,12,Тверская область,Промышленная улица,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123091484,,,"POLYGON ((37.2760586 58.6446136, 37.276257 58.644578, 37.27619 58.6444769, 37.2759916 58.6445125, 37.2760586 58.6446136))",,,,,,"[1373776826, 1373776822, 1373776807, 1373776810, 1373776826]",Весьегонск,RU,6,Тверская область,улица Долгирева,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123091496,,,"POLYGON ((37.2752015 58.6460438, 37.2753999 58.6460082, 37.2753329 58.6459071, 37.2751345 58.6459427, 37.2752015 58.6460438))",,,,,,"[1373776937, 1373776933, 1373776920, 1373776925, 1373776937]",Весьегонск,RU,8,Тверская область,Промышленная улица,yes,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123091498,,,"POLYGON ((37.280654 58.6449462, 37.2808356 58.6448921, 37.2807333 58.6447991, 37.2805518 58.6448532, 37.280654 58.6449462))",,,,,,"[1373776862, 1373776859, 1373776844, 1373776850, 1373776862]",Весьегонск,RU,12,Тверская область,Фабричный переулок,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123091506,,,"POLYGON ((37.2794621 58.6453422, 37.2799435 58.6451911, 37.2798575 58.6451169, 37.279376 58.6452679, 37.2794621 58.6453422))",,,,,,"[1373776884, 1373776881, 1373776873, 1373776877, 1373776884]",Весьегонск,RU,16,Тверская область,Фабричный переулок,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123091509,,,"POLYGON ((37.2703123 58.6469104, 37.2708229 58.6468152, 37.2707536 58.6467145, 37.270243 58.6468097, 37.2703123 58.6469104))",,,,,,"[1373777006, 1373777002, 1373776991, 1373776995, 1373777006]",,RU,20,Тверская область,Промышленная улица,apartments,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123091514,,,"POLYGON ((37.2766864 58.645818, 37.2770787 58.6457555, 37.2770206 58.6456569, 37.2766283 58.6457194, 37.2766864 58.645818))",,,,,,"[1373776914, 1373776909, 1373776902, 1373776906, 1373776914]",Весьегонск,RU,6,Тверская область,Промышленная улица,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123091515,,,"POLYGON ((37.2816896 58.6446908, 37.2818401 58.6446296, 37.2817209 58.6445503, 37.2815704 58.6446115, 37.2816896 58.6446908))",,,,,,"[1373776843, 1373776840, 1373776825, 1373776829, 1373776843]",Весьегонск,RU,8,Тверская область,Фабричный переулок,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123091520,,,"POLYGON ((37.2733433 58.6468286, 37.2735417 58.646793, 37.2734747 58.6466919, 37.2732763 58.6467275, 37.2733433 58.6468286))",,,,,,"[1373777009, 1373777003, 1373776994, 1373777000, 1373777009]",Весьегонск,RU,5,Тверская область,Промышленная площадь,house,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,123091526,,,"POLYGON ((37.2702104 58.6475836, 37.2704099 58.6475465, 37.2703687 58.6474865, 37.2703275 58.6474265, 37.2702863 58.6473665, 37.2702452 58.6473065, 37.270204 58.6472465, 37.2701628 58.6471865, 37.2701216 58.6471265, 37.2700805 58.6470665, 37.269881 58.6471036, 37.2702104 58.6475836))",,,,,,"[1373777030, 1373777022, 6365548153, 6365548151, 6365548152, 6365548150, 6365548155, 6365548154, 6365548156, 1373777015, 1373777019, 1373777030]",Весьегонск,RU,22,Тверская область,Промышленная улица,apartments,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
